Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
L,467.0,50,494.5,85,1,1,1,480.75,67.5
a,494.5,50,522.0,85,1,1,2,508.25,67.5
e,557.0,46,587.4444444444445,85,1,2,1,572.2222222222222,65.5
x,587.4444444444445,46,617.8888888888889,85,1,2,2,602.6666666666667,65.5
t,617.8888888888889,46,648.3333333333334,85,1,2,3,633.1111111111111,65.5
i,648.3333333333334,46,678.7777777777778,85,1,2,4,663.5555555555557,65.5
n,678.7777777777778,46,709.2222222222223,85,1,2,5,694.0,65.5
c,709.2222222222223,46,739.6666666666667,85,1,2,6,724.4444444444446,65.5
i,739.6666666666667,46,770.1111111111112,85,1,2,7,754.8888888888889,65.5
ó,770.1111111111112,46,800.5555555555557,85,1,2,8,785.3333333333335,65.5
n,800.5555555555557,46,831.0000000000001,85,1,2,9,815.7777777777778,65.5
d,869.0,46,897.5,85,1,3,1,883.25,65.5
e,897.5,46,926.0,85,1,3,2,911.75,65.5
l,967.0,46,994.3333333333334,85,1,4,1,980.6666666666667,65.5
o,994.3333333333334,46,1021.6666666666667,85,1,4,2,1008.0,65.5
s,1021.6666666666667,46,1049.0,85,1,4,3,1035.3333333333335,65.5
n,1089.0,46,1119.5,85,1,5,1,1104.25,65.5
e,1119.5,46,1150.0,85,1,5,2,1134.75,65.5
a,1150.0,46,1180.5,85,1,5,3,1165.25,65.5
n,1180.5,46,1211.0,85,1,5,4,1195.75,65.5
d,1211.0,46,1241.5,85,1,5,5,1226.25,65.5
e,1241.5,46,1272.0,85,1,5,6,1256.75,65.5
r,1272.0,46,1302.5,85,1,5,7,1287.25,65.5
t,1302.5,46,1333.0,85,1,5,8,1317.75,65.5
a,1333.0,46,1363.5,85,1,5,9,1348.25,65.5
l,1363.5,46,1394.0,85,1,5,10,1378.75,65.5
e,1394.0,46,1424.5,85,1,5,11,1409.25,65.5
s,1424.5,46,1455.0,85,1,5,12,1439.75,65.5
E,43.0,169,65.5,199,2,1,1,54.25,184.0
l,65.5,169,88.0,199,2,1,2,76.75,184.0
i,119.0,169,143.28571428571428,199,2,2,1,131.14285714285714,184.0
n,143.28571428571428,169,167.57142857142856,199,2,2,2,155.42857142857142,184.0
t,167.57142857142856,169,191.85714285714283,199,2,2,3,179.7142857142857,184.0
e,191.85714285714283,169,216.1428571428571,199,2,2,4,203.99999999999997,184.0
r,216.1428571428571,169,240.4285714285714,199,2,2,5,228.28571428571425,184.0
é,240.4285714285714,169,264.71428571428567,199,2,2,6,252.57142857142853,184.0
s,264.71428571428567,169,288.99999999999994,199,2,2,7,276.8571428571428,184.0
p,321.0,176,343.6666666666667,208,2,3,1,332.33333333333337,192.0
o,343.6666666666667,176,366.33333333333337,208,2,3,2,355.0,192.0
r,366.33333333333337,176,389.00000000000006,208,2,3,3,377.66666666666674,192.0
l,423.0,169,445.0,199,2,4,1,434.0,184.0
a,445.0,169,467.0,199,2,4,2,456.0,184.0
e,497.0,169,521.4444444444445,199,2,5,1,509.22222222222223,184.0
x,521.4444444444445,169,545.8888888888889,199,2,5,2,533.6666666666667,184.0
t,545.8888888888889,169,570.3333333333334,199,2,5,3,558.1111111111111,184.0
i,570.3333333333334,169,594.7777777777778,199,2,5,4,582.5555555555557,184.0
n,594.7777777777778,169,619.2222222222223,199,2,5,5,607.0,184.0
c,619.2222222222223,169,643.6666666666667,199,2,5,6,631.4444444444446,184.0
i,643.6666666666667,169,668.1111111111112,199,2,5,7,655.8888888888889,184.0
ó,668.1111111111112,169,692.5555555555557,199,2,5,8,680.3333333333335,184.0
n,692.5555555555557,169,717.0000000000001,199,2,5,9,704.7777777777778,184.0
s,750.0,169,774.1428571428571,208,2,6,1,762.0714285714286,188.5
i,774.1428571428571,169,798.2857142857142,208,2,6,2,786.2142857142857,188.5
e,798.2857142857142,169,822.4285714285713,208,2,6,3,810.3571428571428,188.5
m,822.4285714285713,169,846.5714285714284,208,2,6,4,834.4999999999999,188.5
p,846.5714285714284,169,870.7142857142856,208,2,6,5,858.642857142857,188.5
r,870.7142857142856,169,894.8571428571427,208,2,6,6,882.7857142857141,188.5
e,894.8571428571427,169,918.9999999999998,208,2,6,7,906.9285714285712,188.5
h,951.0,169,974.0,199,2,7,1,962.5,184.0
a,974.0,169,997.0,199,2,7,2,985.5,184.0
e,1026.0,169,1049.7777777777778,199,2,8,1,1037.888888888889,184.0
x,1049.7777777777778,169,1073.5555555555557,199,2,8,2,1061.6666666666667,184.0
i,1073.5555555555557,169,1097.3333333333335,199,2,8,3,1085.4444444444446,184.0
s,1097.3333333333335,169,1121.1111111111113,199,2,8,4,1109.2222222222224,184.0
t,1121.1111111111113,169,1144.8888888888891,199,2,8,5,1133.0000000000002,184.0
i,1144.8888888888891,169,1168.666666666667,199,2,8,6,1156.777777777778,184.0
d,1168.666666666667,169,1192.4444444444448,199,2,8,7,1180.5555555555559,184.0
o,1192.4444444444448,169,1216.2222222222226,199,2,8,8,1204.3333333333337,184.0
.,1216.2222222222226,169,1240.0000000000005,199,2,8,9,1228.1111111111115,184.0
E,1278.0,171,1300.0,199,2,9,1,1289.0,185.0
n,1300.0,171,1322.0,199,2,9,2,1311.0,185.0
r,1356.0,169,1379.3333333333333,207,2,10,1,1367.6666666666665,188.0
e,1379.3333333333333,169,1402.6666666666665,207,2,10,2,1391.0,188.0
a,1402.6666666666665,169,1425.9999999999998,207,2,10,3,1414.333333333333,188.0
l,1425.9999999999998,169,1449.333333333333,207,2,10,4,1437.6666666666665,188.0
i,1449.333333333333,169,1472.6666666666663,207,2,10,5,1460.9999999999995,188.0
d,1472.6666666666663,169,1495.9999999999995,207,2,10,6,1484.333333333333,188.0
a,1495.9999999999995,169,1519.3333333333328,207,2,10,7,1507.666666666666,188.0
d,1519.3333333333328,169,1542.666666666666,207,2,10,8,1530.9999999999995,188.0
",",1542.666666666666,169,1565.9999999999993,207,2,10,9,1554.3333333333326,188.0
e,1606.0,169,1628.5,199,2,11,1,1617.25,184.0
l,1628.5,169,1651.0,199,2,11,2,1639.75,184.0
f,1681.0,169,1705.2,199,2,12,1,1693.1,184.0
i,1705.2,169,1729.4,199,2,12,2,1717.3000000000002,184.0
n,1729.4,169,1753.6000000000001,199,2,12,3,1741.5,184.0
a,1753.6000000000001,169,1777.8000000000002,199,2,12,4,1765.7000000000003,184.0
l,1777.8000000000002,169,1802.0000000000002,199,2,12,5,1789.9,184.0
d,1832.0,169,1854.5,199,2,13,1,1843.25,184.0
e,1854.5,169,1877.0,199,2,13,2,1865.75,184.0
l,45.0,253,67.33333333333333,283,3,1,1,56.166666666666664,268.0
o,67.33333333333333,253,89.66666666666666,283,3,1,2,78.5,268.0
s,89.66666666666666,253,111.99999999999999,283,3,1,3,100.83333333333331,268.0
n,145.0,253,169.58333333333334,283,3,2,1,157.29166666666669,268.0
e,169.58333333333334,253,194.16666666666669,283,3,2,2,181.875,268.0
a,194.16666666666669,253,218.75000000000003,283,3,2,3,206.45833333333337,268.0
n,218.75000000000003,253,243.33333333333337,283,3,2,4,231.04166666666669,268.0
d,243.33333333333337,253,267.9166666666667,283,3,2,5,255.62500000000003,268.0
e,267.9166666666667,253,292.5,283,3,2,6,280.20833333333337,268.0
r,292.5,253,317.0833333333333,283,3,2,7,304.79166666666663,268.0
t,317.0833333333333,253,341.66666666666663,283,3,2,8,329.375,268.0
a,341.66666666666663,253,366.24999999999994,283,3,2,9,353.95833333333326,268.0
l,366.24999999999994,253,390.83333333333326,283,3,2,10,378.54166666666663,268.0
e,390.83333333333326,253,415.4166666666666,283,3,2,11,403.1249999999999,268.0
s,415.4166666666666,253,439.9999999999999,283,3,2,12,427.70833333333326,268.0
s,472.0,260,494.0,283,3,3,1,483.0,271.5
e,494.0,260,516.0,283,3,3,2,505.0,271.5
h,548.0,253,570.5,283,3,4,1,559.25,268.0
a,570.5,253,593.0,283,3,4,2,581.75,268.0
p,624.0,253,648.4444444444445,292,3,5,1,636.2222222222222,272.5
e,648.4444444444445,253,672.8888888888889,292,3,5,2,660.6666666666667,272.5
r,672.8888888888889,253,697.3333333333334,292,3,5,3,685.1111111111111,272.5
c,697.3333333333334,253,721.7777777777778,292,3,5,4,709.5555555555557,272.5
i,721.7777777777778,253,746.2222222222223,292,3,5,5,734.0,272.5
b,746.2222222222223,253,770.6666666666667,292,3,5,6,758.4444444444446,272.5
i,770.6666666666667,253,795.1111111111112,292,3,5,7,782.8888888888889,272.5
d,795.1111111111112,253,819.5555555555557,292,3,5,8,807.3333333333335,272.5
o,819.5555555555557,253,844.0000000000001,292,3,5,9,831.7777777777778,272.5
e,875.0,260,897.0,283,3,6,1,886.0,271.5
n,897.0,260,919.0,283,3,6,2,908.0,271.5
d,950.0,253,974.6,283,3,7,1,962.3,268.0
i,974.6,253,999.2,283,3,7,2,986.9000000000001,268.0
f,999.2,253,1023.8000000000001,283,3,7,3,1011.5,268.0
e,1023.8000000000001,253,1048.4,283,3,7,4,1036.1000000000001,268.0
r,1048.4,253,1073.0,283,3,7,5,1060.7,268.0
e,1073.0,253,1097.6,283,3,7,6,1085.3,268.0
n,1097.6,253,1122.1999999999998,283,3,7,7,1109.8999999999999,268.0
t,1122.1999999999998,253,1146.7999999999997,283,3,7,8,1134.4999999999998,268.0
e,1146.7999999999997,253,1171.3999999999996,283,3,7,9,1159.0999999999997,268.0
s,1171.3999999999996,253,1195.9999999999995,283,3,7,10,1183.6999999999996,268.0
m,1227.0,253,1251.3333333333333,283,3,8,1,1239.1666666666665,268.0
e,1251.3333333333333,253,1275.6666666666665,283,3,8,2,1263.5,268.0
d,1275.6666666666665,253,1299.9999999999998,283,3,8,3,1287.833333333333,268.0
i,1299.9999999999998,253,1324.333333333333,283,3,8,4,1312.1666666666665,268.0
o,1324.333333333333,253,1348.6666666666663,283,3,8,5,1336.4999999999995,268.0
s,1348.6666666666663,253,1372.9999999999995,283,3,8,6,1360.833333333333,268.0
m,1403.0,253,1426.3333333333333,283,3,9,1,1414.6666666666665,268.0
á,1426.3333333333333,253,1449.6666666666665,283,3,9,2,1438.0,268.0
s,1449.6666666666665,253,1472.9999999999998,283,3,9,3,1461.333333333333,268.0
c,1505.0,260,1528.75,283,3,10,1,1516.875,271.5
o,1528.75,260,1552.5,283,3,10,2,1540.625,271.5
m,1552.5,260,1576.25,283,3,10,3,1564.375,271.5
o,1576.25,260,1600.0,283,3,10,4,1588.125,271.5
u,1632.0,260,1653.5,283,3,11,1,1642.75,271.5
n,1653.5,260,1675.0,283,3,11,2,1664.25,271.5
m,42.0,337,66.625,367,4,1,1,54.3125,352.0
i,66.625,337,91.25,367,4,1,2,78.9375,352.0
s,91.25,337,115.875,367,4,1,3,103.5625,352.0
t,115.875,337,140.5,367,4,1,4,128.1875,352.0
e,140.5,337,165.125,367,4,1,5,152.8125,352.0
r,165.125,337,189.75,367,4,1,6,177.4375,352.0
i,189.75,337,214.375,367,4,1,7,202.0625,352.0
o,214.375,337,239.0,367,4,1,8,226.6875,352.0
q,270.0,344,293.0,376,4,2,1,281.5,360.0
u,293.0,344,316.0,376,4,2,2,304.5,360.0
e,316.0,344,339.0,376,4,2,3,327.5,360.0
c,371.0,344,394.75,367,4,3,1,382.875,355.5
o,394.75,344,418.5,367,4,3,2,406.625,355.5
m,418.5,344,442.25,367,4,3,3,430.375,355.5
o,442.25,344,466.0,367,4,3,4,454.125,355.5
u,498.0,344,519.5,367,4,4,1,508.75,355.5
n,519.5,344,541.0,367,4,4,2,530.25,355.5
i,572.0,337,596.75,376,4,5,1,584.375,356.5
n,596.75,337,621.5,376,4,5,2,609.125,356.5
t,621.5,337,646.25,376,4,5,3,633.875,356.5
e,646.25,337,671.0,376,4,5,4,658.625,356.5
r,671.0,337,695.75,376,4,5,5,683.375,356.5
r,695.75,337,720.5,376,4,5,6,708.125,356.5
o,720.5,337,745.25,376,4,5,7,732.875,356.5
g,745.25,337,770.0,376,4,5,8,757.625,356.5
a,770.0,337,794.75,376,4,5,9,782.375,356.5
n,794.75,337,819.5,376,4,5,10,807.125,356.5
t,819.5,337,844.25,376,4,5,11,831.875,356.5
e,844.25,337,869.0,376,4,5,12,856.625,356.5
d,900.0,337,923.3333333333334,367,4,6,1,911.6666666666667,352.0
e,923.3333333333334,337,946.6666666666667,367,4,6,2,935.0,352.0
l,946.6666666666667,337,970.0000000000001,367,4,6,3,958.3333333333335,352.0
p,1002.0,337,1026.0,376,4,7,1,1014.0,356.5
e,1026.0,337,1050.0,376,4,7,2,1038.0,356.5
n,1050.0,337,1074.0,376,4,7,3,1062.0,356.5
s,1074.0,337,1098.0,376,4,7,4,1086.0,356.5
a,1098.0,337,1122.0,376,4,7,5,1110.0,356.5
m,1122.0,337,1146.0,376,4,7,6,1134.0,356.5
i,1146.0,337,1170.0,376,4,7,7,1158.0,356.5
e,1170.0,337,1194.0,376,4,7,8,1182.0,356.5
n,1194.0,337,1218.0,376,4,7,9,1206.0,356.5
t,1218.0,337,1242.0,376,4,7,10,1230.0,356.5
o,1242.0,337,1266.0,376,4,7,11,1254.0,356.5
.,1266.0,337,1290.0,376,4,7,12,1278.0,356.5
¿,1328.0,339,1351.5,372,4,8,1,1339.75,355.5
P,1351.5,339,1375.0,372,4,8,2,1363.25,355.5
o,1375.0,339,1398.5,372,4,8,3,1386.75,355.5
r,1398.5,339,1422.0,372,4,8,4,1410.25,355.5
q,1454.0,337,1477.3333333333333,376,4,9,1,1465.6666666666665,356.5
u,1477.3333333333333,337,1500.6666666666665,376,4,9,2,1489.0,356.5
é,1500.6666666666665,337,1523.9999999999998,376,4,9,3,1512.333333333333,356.5
s,1556.0,344,1577.5,367,4,10,1,1566.75,355.5
e,1577.5,344,1599.0,367,4,10,2,1588.25,355.5
e,43.0,421,67.66666666666667,460,5,1,1,55.333333333333336,440.5
x,67.66666666666667,421,92.33333333333334,460,5,1,2,80.0,440.5
t,92.33333333333334,421,117.00000000000001,460,5,1,3,104.66666666666669,440.5
i,117.00000000000001,421,141.66666666666669,460,5,1,4,129.33333333333334,440.5
n,141.66666666666669,421,166.33333333333334,460,5,1,5,154.0,440.5
g,166.33333333333334,421,191.0,460,5,1,6,178.66666666666669,440.5
u,191.0,421,215.66666666666666,460,5,1,7,203.33333333333331,440.5
i,215.66666666666666,421,240.33333333333331,460,5,1,8,228.0,440.5
e,240.33333333333331,421,265.0,460,5,1,9,252.66666666666666,440.5
r,265.0,421,289.6666666666667,460,5,1,10,277.33333333333337,440.5
o,289.6666666666667,421,314.33333333333337,460,5,1,11,302.0,440.5
n,314.33333333333337,421,339.00000000000006,460,5,1,12,326.66666666666674,440.5
l,373.0,421,395.3333333333333,451,5,2,1,384.16666666666663,436.0
o,395.3333333333333,421,417.66666666666663,451,5,2,2,406.5,436.0
s,417.66666666666663,421,439.99999999999994,451,5,2,3,428.83333333333326,436.0
n,472.0,421,496.6923076923077,451,5,3,1,484.3461538461538,436.0
e,496.6923076923077,421,521.3846153846154,451,5,3,2,509.03846153846155,436.0
a,521.3846153846154,421,546.0769230769231,451,5,3,3,533.7307692307693,436.0
n,546.0769230769231,421,570.7692307692308,451,5,3,4,558.4230769230769,436.0
d,570.7692307692308,421,595.4615384615386,451,5,3,5,583.1153846153848,436.0
e,595.4615384615386,421,620.1538461538463,451,5,3,6,607.8076923076924,436.0
r,620.1538461538463,421,644.846153846154,451,5,3,7,632.5000000000002,436.0
t,644.846153846154,421,669.5384615384618,451,5,3,8,657.1923076923078,436.0
a,669.5384615384618,421,694.2307692307695,451,5,3,9,681.8846153846157,436.0
l,694.2307692307695,421,718.9230769230772,451,5,3,10,706.5769230769233,436.0
e,718.9230769230772,421,743.615384615385,451,5,3,11,731.2692307692312,436.0
s,743.615384615385,421,768.3076923076927,451,5,3,12,755.9615384615388,436.0
?,768.3076923076927,421,793.0000000000005,451,5,3,13,780.6538461538466,436.0
H,824.0,421,848.2666666666667,459,5,4,1,836.1333333333333,440.0
i,848.2666666666667,421,872.5333333333333,459,5,4,2,860.4,440.0
s,872.5333333333333,421,896.8,459,5,4,3,884.6666666666666,440.0
t,896.8,421,921.0666666666666,459,5,4,4,908.9333333333333,440.0
ó,921.0666666666666,421,945.3333333333333,459,5,4,5,933.1999999999999,440.0
r,945.3333333333333,421,969.5999999999999,459,5,4,6,957.4666666666666,440.0
i,969.5999999999999,421,993.8666666666666,459,5,4,7,981.7333333333332,440.0
c,993.8666666666666,421,1018.1333333333332,459,5,4,8,1005.9999999999999,440.0
a,1018.1333333333332,421,1042.3999999999999,459,5,4,9,1030.2666666666664,440.0
m,1042.3999999999999,421,1066.6666666666665,459,5,4,10,1054.5333333333333,440.0
e,1066.6666666666665,421,1090.9333333333332,459,5,4,11,1078.7999999999997,440.0
n,1090.9333333333332,421,1115.1999999999998,459,5,4,12,1103.0666666666666,440.0
t,1115.1999999999998,421,1139.4666666666665,459,5,4,13,1127.333333333333,440.0
e,1139.4666666666665,421,1163.7333333333331,459,5,4,14,1151.6,440.0
",",1163.7333333333331,421,1187.9999999999998,459,5,4,15,1175.8666666666663,440.0
l,1230.0,421,1252.3333333333333,451,5,5,1,1241.1666666666665,436.0
a,1252.3333333333333,421,1274.6666666666665,451,5,5,2,1263.5,436.0
s,1274.6666666666665,421,1296.9999999999998,451,5,5,3,1285.833333333333,436.0
c,1328.0,428,1352.1666666666667,451,5,6,1,1340.0833333333335,439.5
a,1352.1666666666667,428,1376.3333333333335,451,5,6,2,1364.25,439.5
u,1376.3333333333335,428,1400.5000000000002,451,5,6,3,1388.416666666667,439.5
s,1400.5000000000002,428,1424.666666666667,451,5,6,4,1412.5833333333335,439.5
a,1424.666666666667,428,1448.8333333333337,451,5,6,5,1436.7500000000005,439.5
s,1448.8333333333337,428,1473.0000000000005,451,5,6,6,1460.916666666667,439.5
p,1506.0,422,1530.5,460,5,7,1,1518.25,441.0
r,1530.5,422,1555.0,460,5,7,2,1542.75,441.0
o,1555.0,422,1579.5,460,5,7,3,1567.25,441.0
p,1579.5,422,1604.0,460,5,7,4,1591.75,441.0
u,1604.0,422,1628.5,460,5,7,5,1616.25,441.0
e,1628.5,422,1653.0,460,5,7,6,1640.75,441.0
s,1653.0,422,1677.5,460,5,7,7,1665.25,441.0
t,1677.5,422,1702.0,460,5,7,8,1689.75,441.0
a,1702.0,422,1726.5,460,5,7,9,1714.25,441.0
s,1726.5,422,1751.0,460,5,7,10,1738.75,441.0
p,1783.0,428,1807.0,460,5,8,1,1795.0,444.0
a,1807.0,428,1831.0,460,5,8,2,1819.0,444.0
r,1831.0,428,1855.0,460,5,8,3,1843.0,444.0
a,1855.0,428,1879.0,460,5,8,4,1867.0,444.0
e,43.0,505,67.25,544,6,1,1,55.125,524.5
x,67.25,505,91.5,544,6,1,2,79.375,524.5
p,91.5,505,115.75,544,6,1,3,103.625,524.5
l,115.75,505,140.0,544,6,1,4,127.875,524.5
i,140.0,505,164.25,544,6,1,5,152.125,524.5
c,164.25,505,188.5,544,6,1,6,176.375,524.5
a,188.5,505,212.75,544,6,1,7,200.625,524.5
r,212.75,505,237.0,544,6,1,8,224.875,524.5
s,271.0,512,292.5,535,6,2,1,281.75,523.5
u,292.5,512,314.0,535,6,2,2,303.25,523.5
e,345.0,505,369.55555555555554,535,6,3,1,357.27777777777777,520.0
x,369.55555555555554,505,394.1111111111111,535,6,3,2,381.8333333333333,520.0
t,394.1111111111111,505,418.66666666666663,535,6,3,3,406.38888888888886,520.0
i,418.66666666666663,505,443.2222222222222,535,6,3,4,430.9444444444444,520.0
n,443.2222222222222,505,467.7777777777777,535,6,3,5,455.49999999999994,520.0
c,467.7777777777777,505,492.33333333333326,535,6,3,6,480.0555555555555,520.0
i,492.33333333333326,505,516.8888888888888,535,6,3,7,504.61111111111103,520.0
ó,516.8888888888888,505,541.4444444444443,535,6,3,8,529.1666666666665,520.0
n,541.4444444444443,505,565.9999999999999,535,6,3,9,553.7222222222222,520.0
h,598.0,505,621.0,535,6,4,1,609.5,520.0
a,621.0,505,644.0,535,6,4,2,632.5,520.0
n,644.0,505,667.0,535,6,4,3,655.5,520.0
s,699.0,505,722.75,535,6,5,1,710.875,520.0
i,722.75,505,746.5,535,6,5,2,734.625,520.0
d,746.5,505,770.25,535,6,5,3,758.375,520.0
o,770.25,505,794.0,535,6,5,4,782.125,520.0
m,823.0,512,847.3333333333334,544,6,6,1,835.1666666666667,528.0
u,847.3333333333334,512,871.6666666666667,544,6,6,2,859.5,528.0
y,871.6666666666667,512,896.0000000000001,544,6,6,3,883.8333333333335,528.0
v,924.0,505,948.0833333333334,544,6,7,1,936.0416666666667,524.5
a,948.0833333333334,505,972.1666666666667,544,6,7,2,960.125,524.5
r,972.1666666666667,505,996.2500000000001,544,6,7,3,984.2083333333335,524.5
i,996.2500000000001,505,1020.3333333333335,544,6,7,4,1008.2916666666667,524.5
